homepage,ip,address,ip_range,provider,lat,lon
http://nbuv.gov.ua,194.44.11.131,"54 Volodymyrska str., r.107 Kyiv, 01601 Ukraine","['194.44.11.0', '194.44.11.255']",UARNET-KYIV-ACADEMIC-20111226,50.43002,30.51295
http://ndippp.gov.ua,91.205.16.131,"51-A Kharkovskoe shosse, Kiev, Ukraine","['91.205.16.0', '91.205.19.255']",DC-ADAM,50.45,30.52361
http://ndr.sm.gov.ua,193.34.92.244,"Sumski Telecom Systems Ltd 21 Internatsionalistiv street, Sumy, 40034, Ukraine","['193.34.92.0', '193.34.95.255']",TKSYS-NET,51.0,34.0
http://netherlands.mfa.gov.ua,104.18.15.64,101 Townsend Street San Francisco CA 94107 United States,"['104.16.0.0', '104.31.255.255']",CLOUDFLARENET,37.78023,-122.39047
http://nfp.gov.ua,212.26.132.92,"51A, Kharkivske shosse str., Kyiv, 02096, Ukraine","['212.26.132.0', '212.26.132.255']",UA-ADAM-VPS-1,50.428026,30.648455
http://ng.kr-admin.gov.ua,195.62.15.59,"Shevchenko st. 10, Kirovograd, 25006, Ukraine","['195.62.14.0', '195.62.15.255']",SHTORM-NET,48.51,32.27
http://ngu.gov.ua,213.156.91.96,"83b Melnikova str. Kyiv, Ukraine","['213.156.91.0', '213.156.91.255']",USS-NET,50.516366,30.253917
http://nigeria.mfa.gov.ua,104.18.14.64,101 Townsend Street San Francisco CA 94107 United States,"['104.16.0.0', '104.31.255.255']",CLOUDFLARENET,37.78023,-122.39047
http://nkrzi.gov.ua,94.176.196.35,"3-floor, 15, Simyi Khokhlovykh str. 04119 Kiev UKRAINE","['94.176.196.0', '94.176.199.255']",UA-UKRCOM-20080814,50.471203,30.456817
http://nkrzu.gov.ua,185.174.220.11,"Private company ""Ukrainian hosting"" street Turgenevskaya, 59 Kiev Ukraine","['185.174.220.0', '185.174.221.255']",UHUA-ukrhosting,50.469224,30.519633
http://nmgubinsel.dp.gov.ua,195.64.190.1,"2, Oleksandra Polia Ave, Dnipro, Ukraine, 49004","['195.64.190.0', '195.64.191.255']",GIKNPC-NET,48.47,35.05
